"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2022","Illinois St.",68.553,148,67.9178,118,104.389,124,105.346,131,106.498,273,106.545,250,-1.19894,186
"2022","Incarnate Word",67.7517,193,64.5837,310,95.857,299,94.9744,318,114.604,355,116.827,355,-21.8524,353
"2022","Indiana",67.8765,186,66.9613,184,103.985,131,107.557,91,95.8817,43,92.6207,21,14.9364,36
"2022","Indiana St.",69.2106,108,69.1046,66,96.5456,284,98.5973,261,104.182,240,103.052,175,-4.45443,226
"2022","Iona",70.1414,81,68.9023,75,106.425,77,107.648,88,96.5616,52,99.4594,108,8.18846,94
"2022","Iowa",70.3455,72,69.5974,52,118.165,4,121.547,2,101.016,160,98.0202,77,23.5267,13
"2022","Iowa St.",67.2114,228,66.0727,232,98.0934,259,104.384,151,92.9036,18,90.4377,10,13.9461,48
"2022","IUPUI",63.0657,351,62.2735,347,81.4853,358,79.5418,358,108.582,311,111.109,323,-31.5671,358
"2022","Jackson St.",65.9232,287,63.6728,336,92.3946,337,93.5112,332,98.7328,100,102.668,167,-9.157,277
"2022","Jacksonville",62.301,355,61.3952,355,102.778,160,100.354,229,97.8312,78,100.064,120,0.290296,165
"2022","Jacksonville St.",66.1608,275,65.1174,276,106.638,71,105.324,132,99.7107,127,103.083,178,2.24147,146
"2022","James Madison",69.4971,93,68.7613,83,102.198,173,102.591,188,106.57,274,107.85,272,-5.25862,233
"2022","Kansas",69.5494,92,69.0956,68,111.605,21,119.392,6,97.191,66,93.8998,29,25.4922,6
"2022","Kansas St.",67.4785,208,66.5025,205,101.581,185,109.418,67,99.3406,116,97.4182,70,11.9999,66
"2022","Kennesaw St.",67.3204,221,66.1084,229,104.754,121,104.795,143,107.505,293,109.169,288,-4.37339,224
"2022","Kent St.",67.2702,222,65.8174,245,103.026,153,101.458,204,98.6092,98,99.5447,111,1.91342,150
"2022","Kentucky",69.3278,97,67.3287,155,114.407,9,120.19,4,95.4126,36,93.5949,27,26.5947,3
"2022","La Salle",68.2243,171,67.112,176,97.6053,269,98.9953,254,103.386,220,103.799,194,-4.80321,228
"2022","Lafayette",65.6608,300,64.6162,305,100.188,211,97.311,280,108.713,315,111.811,332,-14.5,324
"2022","Lamar",67.4157,216,65.9672,241,90.3443,351,92.4281,340,109.887,327,112.326,337,-19.8978,348
"2022","Lehigh",68.2261,170,67.9714,115,99.5507,228,98.2431,268,104.682,248,110.399,306,-12.1554,303
"2022","Liberty",65.9817,282,65.2033,271,107.58,54,105.165,135,98.3615,91,101.323,142,3.84159,124
"2022","Lipscomb",70.515,64,69.0806,69,102.004,176,102.304,192,109.038,318,110.496,310,-8.19163,265
"2022","Little Rock",66.7579,257,66.6405,198,94.0895,324,97.2465,282,111.119,338,111.941,333,-14.6942,326
"2022","LIU",72.7647,18,72.2811,5,100.64,204,99.8973,242,101.614,173,105.478,226,-5.58109,237
"2022","Long Beach St.",70.6559,58,70.6558,27,101.312,194,103.787,165,101.81,181,102.181,158,1.60553,153
"2022","Longwood",67.1683,231,66.0463,235,108.965,40,106.107,115,98.0629,83,103.623,191,2.48383,144
"2022","Louisiana",70.1417,80,69.5064,56,99.5262,229,101.842,197,99.3132,112,102.656,165,-0.813546,181
"2022","Louisiana Monroe",69.066,114,67.6401,129,98.9967,243,101.349,210,107.803,303,109.347,292,-7.99821,262
"2022","Louisiana Tech",69.5831,91,68.3798,100,105.596,98,105.974,117,98.3298,89,98.4449,87,7.52883,98
"2022","Louisville",67.5201,205,66.9613,185,98.8147,248,102.613,187,103.317,217,100.043,118,2.5701,142
"2022","Loyola Chicago",65.6169,302,64.5895,308,109.986,33,110.891,42,92.9722,20,93.1958,22,17.6949,24
"2022","Loyola Marymount",67.4213,215,65.7783,247,101.778,180,106.132,114,109.724,326,108.369,278,-2.23679,196
"2022","Loyola MD",65.8754,289,64.4485,316,99.7016,223,96.4972,299,100.335,142,105.239,219,-8.74219,273
"2022","LSU",70.6956,55,68.6449,92,102.61,163,107.64,89,89.6727,5,88.5585,5,19.0816,19
"2022","Maine",66.1591,276,66.1279,227,91.9297,343,92.3618,341,111.253,340,114.564,349,-22.2017,354
"2022","Manhattan",69.2219,107,68.4928,95,99.629,226,100.247,232,105.5,266,108.796,280,-8.54901,269
"2022","Marist",66.9199,247,66.0835,230,101.379,191,100.71,222,100.568,144,104.324,207,-3.61433,213
"2022","Marquette",71.4884,38,70.6649,26,103.451,145,109.787,62,98.5096,95,95.785,46,14.0023,47
"2022","Marshall",72.8331,15,72.1987,6,100.105,213,101.458,205,106.781,277,107.135,259,-5.67751,238
"2022","Maryland",67.4481,213,66.5008,206,104.36,127,109.521,66,104.194,241,99.4031,106,10.1183,80
"2022","Maryland Eastern Shore",69.6277,90,67.5007,143,90.731,348,91.0242,349,98.4904,94,103.692,193,-12.6683,309
"2022","Massachusetts",69.2451,106,68.9426,72,108.032,49,111.974,30,111.779,343,113.333,344,-1.35867,189
"2022","McNeese St.",72.7472,19,69.5538,53,98.0424,261,97.8627,276,107.032,282,110.744,317,-12.8809,311
"2022","Memphis",71.4262,40,70.2982,34,105.619,97,110.368,50,96.197,46,94.1476,31,16.2199,28
"2022","Mercer",65.5253,307,64.6041,306,105.719,95,105.777,122,108.969,317,107.585,268,-1.80775,194
"2022","Merrimack",63.5076,345,62.0766,350,95.1217,306,94.4169,326,101.557,171,105.961,240,-11.5438,300
"2022","Miami FL",67.5221,204,67.2787,160,110.368,29,114.756,17,104.983,253,102.136,157,12.6198,62
"2022","Miami OH",68.8827,127,67.6215,131,105.967,88,103.856,163,109.438,322,111.709,330,-7.85296,258
"2022","Michigan",67.5085,206,66.2859,218,108.005,50,114.206,19,103.654,226,98.5584,91,15.648,33
"2022","Michigan St.",68.0511,176,67.5076,141,105.927,89,111.274,38,100.988,158,96.4027,53,14.8715,40
"2022","Middle Tennessee",68.4588,158,67.4589,146,105.019,112,105.574,126,97.4387,72,98.4333,86,7.14063,100
"2022","Milwaukee",67.7605,191,66.7834,193,95.2219,304,91.9204,346,105.133,255,108.965,285,-17.0445,335
"2022","Minnesota",65.3617,315,65.0049,285,101.788,179,107.257,93,105.366,262,101.952,151,5.30526,110
"2022","Mississippi",67.0271,240,65.084,278,100.491,206,105.886,120,101.711,175,99.8722,117,6.01357,105
"2022","Mississippi St.",66.8311,253,65.4611,263,105.142,109,110.05,56,98.2631,86,96.0092,48,14.041,45
"2022","Mississippi Valley St.",72.6348,20,70.6674,25,90.8253,347,92.8723,339,111.91,344,115.434,351,-22.5618,355
"2022","Missouri",67.1358,233,65.5132,260,96.1176,292,104.095,158,104.801,250,101.057,135,3.0384,136
"2022","Missouri St.",67.6687,199,66.8195,192,112.596,16,113.558,25,100.817,154,101.28,140,12.2782,63
"2022","Monmouth",67.1183,236,66.0582,234,101.26,197,102.36,191,99.58,120,102.094,156,0.265259,166
"2022","Montana",66.8693,251,65.1604,275,103.341,147,100.501,223,103.824,229,106.943,256,-6.44115,244
"2022","Montana St.",68.9381,124,67.2946,157,108.242,48,104.531,147,98.3861,92,100.723,129,3.80871,125
"2022","Morehead St.",65.9438,285,64.6709,300,103.636,141,103.921,162,96.894,60,99.203,102,4.71783,114
"2022","Morgan St.",74.1759,4,71.689,14,94.3482,319,95.2231,315,100.143,139,106.051,244,-10.8277,292
"2022","Mount St. Mary's",64.9138,331,63.2169,339,98.5739,255,96.2401,303,99.656,124,102.768,169,-6.52836,246
"2022","Murray St.",67.4595,211,65.7844,246,113.009,14,111.517,35,92.0871,10,95.1281,40,16.389,27
"2022","N.C. State",67.9187,183,66.9316,188,105.772,92,109.096,69,109.242,319,106.548,251,2.54787,143
"2022","Navy",64.4793,338,64.5871,309,98.6975,252,95.383,311,93.3233,23,96.7482,61,-1.36516,190
"2022","Nebraska",71.9866,29,71.0445,19,100.356,207,105.888,119,107.346,288,102.952,173,2.93616,138
"2022","Nebraska Omaha",71.2698,44,69.7797,49,97.8541,266,98.1694,269,118.747,358,116.313,353,-18.144,342
"2022","Nevada",70.7121,54,70.1133,39,101.453,189,107.109,94,104.807,251,101.742,147,5.36644,108
"2022","New Hampshire",62.8611,352,62.1774,348,106.176,80,103.12,174,105.089,254,109.613,296,-6.49251,245
"2022","New Mexico",71.1725,46,70.8973,21,102.453,169,107.092,95,106.935,280,105.65,231,1.44226,155
"2022","New Mexico St.",67.8721,187,66.1732,223,104.869,119,107.805,87,96.0926,44,97.7017,73,10.1029,81
"2022","New Orleans",74.3516,1,71.7282,11,101.592,184,97.3401,279,101.724,176,105.337,221,-7.99703,261
"2022","Niagara",65.1776,321,64.2027,320,99.6183,227,100.074,238,100.007,134,102.351,162,-2.27616,198
"2022","Nicholls St.",72.0286,27,69.6447,51,104.909,118,101.509,202,101.146,163,104.507,210,-2.99805,207
"2022","NJIT",66.6106,262,65.8966,243,92.5236,336,89.5711,354,105.336,260,108.01,276,-18.4391,343
"2022","Norfolk St.",70.4806,66,66.933,187,103.718,139,102.43,190,93.6633,25,102.284,160,0.145426,168
"2022","North Alabama",69.442,95,67.5983,132,91.3292,346,90.4233,352,102.994,215,104.019,200,-13.5956,318
"2022","North Carolina",70.2181,77,70.1482,38,109.416,35,113.058,27,100.974,156,97.0133,64,16.0446,29
"2022","North Carolina A&T",67.6956,196,67.3187,156,96.3688,286,96.9004,290,104.314,244,107.948,275,-11.0475,295
"2022","North Carolina Central",70.4378,68,67.501,142,95.2689,303,96.7869,293,100.778,152,107.112,257,-10.3247,285
"2022","North Dakota",69.0561,115,67.2496,165,99.2396,237,96.9473,288,115.633,356,116.388,354,-19.4405,345
"2022","North Dakota St.",67.9838,180,66.2576,220,106.021,85,103.377,171,101.582,172,101.239,138,2.13876,148
