TeamName,Pythag
Hofstra,0.5084033613445379
Army,0.504838298955946
Rice,0.5031830914183856
Valparaiso,0.5000000000000001
Hartford,0.49898141074611674
Southern Illinois,0.4975808505220271
La Salle,0.4959256429844666
Northern Kentucky,0.49337916984975816
Hawaii,0.4923605805958748
Saint Joseph's,0.4923605805958748
Illinois St.,0.4905780494015789
Elon,0.48777692895339964
Norfolk St.,0.4861217214158391
Nicholls St.,0.48472116119174946
Montana,0.48472116119174946
Evansville,0.48319327731092443
San Diego,0.4830659536541891
Milwaukee,0.4823020117137765
Louisiana,0.48153806977336394
Oakland,0.4798828622358035
Campbell,0.47937356760886185
Appalachian St.,0.4784823020117138
Loyola MD,0.4784823020117138
Utah Valley,0.47580850522027
Wagner,0.47517188693659285
Penn,0.4738986503692386
